close,high,low,open,timestamp,volume
41.0875,41.0875,41.0875,41.0875,1660780800,0.20
41.0875,41.0875,41.0875,41.0875,1660867200,0.00
41.0875,41.0875,41.0875,41.0875,1660953600,0.00
41.0875,41.0875,41.0875,41.0875,1661040000,0.00
41.0875,41.0875,41.0875,41.0875,1661126400,0.00
41.0875,41.0875,41.0875,41.0875,1661212800,0.00
35.4695,41.0000,35.3779,35.4143,1661299200,697.50
35.7900,36.2519,35.0723,35.0723,1661385600,1214.05
31.7049,35.3977,31.5220,34.6600,1661472000,2189.86
31.5634,32.1497,31.0000,31.8763,1661558400,596.59
30.6181,31.9552,30.6181,31.4399,1661644800,1219.10
32.0653,32.0946,30.1300,30.5383,1661731200,2430.68
31.5652,32.9217,30.6987,32.2783,1661817600,2187.49
31.4562,32.7500,31.2950,31.5885,1661904000,1485.13
31.5013,31.7089,30.6152,31.7089,1661990400,1216.55
31.0775,32.3137,30.8589,31.5800,1662076800,682.20
31.1169,31.2470,30.9097,31.1091,1662163200,1325.28
32.0907,32.1284,31.1000,31.1165,1662249600,2613.72
32.3103,39.0000,31.2000,32.4138,1662336000,1258.28
30.8954,34.7165,30.6550,33.0413,1662422400,11531.28
32.8050,35.9659,30.3903,30.8201,1662508800,2983.40
33.3796,33.8066,32.0906,32.5730,1662595200,2693.44
34.9690,35.8958,34.0225,34.0706,1662681600,5641.84
35.2500,35.2500,34.3100,34.8086,1662768000,819.54
34.9220,35.9765,34.1388,35.0015,1662854400,4251.23
37.3486,38.1766,34.4264,34.6850,1662940800,6324.77
33.1136,38.9000,33.0531,37.1700,1663027200,6517.64
34.0101,34.3690,32.7278,33.0110,1663113600,5503.40
33.1098,34.7663,32.6668,34.1026,1663200000,7598.15
32.1177,33.2067,31.5662,32.8169,1663286400,4142.62
33.8302,37.2252,32.3519,32.3519,1663372800,2634.74
30.9939,33.7514,30.9835,33.5056,1663459200,1894.93
32.6270,33.7194,30.6110,33.7194,1663545600,7832.04
31.6781,33.6999,30.6848,32.8079,1663632000,6615.98
30.7730,33.4381,30.2265,32.9978,1663718400,14703.36
32.4044,32.8246,30.9197,30.9519,1663804800,2601.06
33.6826,33.9001,31.3170,32.3820,1663891200,4895.28
33.5187,34.5321,33.2936,33.8263,1663977600,4469.03
32.3351,33.9894,32.0000,33.5657,1664064000,4001.76
33.9280,36.7840,31.9444,32.3157,1664150400,23148.65
32.8813,35.3774,32.4361,33.8368,1664236800,10074.27
33.2815,36.9159,31.7264,32.4091,1664323200,2161.85
33.9094,34.3470,32.0001,33.3915,1664409600,8818.31
33.2069,34.9728,32.6885,33.9176,1664496000,8206.44
32.4942,33.1379,32.3923,33.1366,1664582400,6051.12
31.9964,32.9708,31.9964,32.6512,1664668800,8788.34
32.9485,36.9156,31.7500,31.9735,1664755200,5339.07
34.1343,34.3676,32.8589,33.0341,1664841600,46073.83
33.9790,34.3280,33.1998,33.9750,1664928000,16446.48
33.3744,34.4916,33.2480,34.2276,1665014400,3722.43
32.9682,33.7163,32.5688,33.3562,1665100800,16891.74
32.5444,33.0000,32.4420,32.9833,1665187200,381.29
32.7758,33.1141,32.0087,32.5416,1665273600,1233.09
31.0085,33.3676,31.0085,32.9997,1665360000,1127.28
30.8004,31.7904,30.5928,31.5246,1665446400,2020.73
31.1167,31.4201,30.0052,30.8169,1665532800,1895.52
30.5075,31.2005,28.0000,31.2005,1665619200,10038.84
29.9944,31.9149,29.7080,30.4499,1665705600,14264.06
29.6270,30.1937,29.5000,29.9944,1665792000,1276.75
30.2383,30.4796,29.7409,29.7409,1665878400,646.94
31.2694,31.2694,29.9345,30.0417,1665964800,1847.51
30.1798,31.4474,29.8019,31.1808,1666051200,4672.56
28.8481,30.2167,28.8481,30.2167,1666137600,1333.56
28.1768,29.4174,28.0000,28.8012,1666224000,7336.75
28.1169,28.1516,26.9759,27.8326,1666310400,11445.76
28.0174,28.1877,27.5805,27.8717,1666396800,527.28
29.2465,30.0943,27.8990,28.0427,1666483200,3430.42
28.2233,29.3707,28.0004,29.3707,1666569600,1725.78
30.9480,32.9999,28.1664,28.3192,1666656000,49573.53
31.2206,31.9556,30.7559,30.9249,1666742400,14071.46
30.5471,32.1980,30.5268,31.3573,1666828800,10799.18
32.1442,32.5176,30.1589,30.5404,1666915200,10256.87
32.7461,33.7100,31.9569,32.0711,1667001600,3109.83
32.8426,33.5566,31.9822,32.7750,1667088000,1464.49
32.6441,34.3373,31.7002,33.1500,1667174400,5731.19
